infoType,title,link,stars,totalRatings,price,weight,rank,description,brand,colors
base,"L'OrÃal Paris Superior Preference Fade-Defying + Shine Permanent Hair Color, 3C Cool Darkest Brown, 1 kit Hair Dye 1 Count",https://www.amazon.com/Paris-Superior-Preference-Fade-Defying-Permanent/dp/B0185LC8YG,3.9,745,8.49,8,"19,680","Since 1973, L’Oreal Superior Preference has been our gold standard in permanent hair color – delivering extraordinary shine and luminous hair color that lasts and lasts. What makes Superior Preference hair color so special is our unique Fade-Defying Color and Shine System that pairs our translucent gel formula with our famous Care Supreme Conditioning treatment. The end result is beautifully crafted, long lasting hair color with depth and dimension. Available in over 50 luminous shades so you can find your own signature color.
				    	
					/nHaving trouble finding the right shade? Questions on how to apply your L'Oreal Paris Hair Color product? Ask a L'Oreal Hair Color Expert./nIf you have a question about a L'Oreal Paris Hair Color product, talk to one of our L’Oreal Customer Care representatives./nPhone: 1-888-768-2914/nMonday-Friday, 9:00 AM-5:30PM ET",L'OrÃal,"['Cool Darkest Brown', 'Dark Brown', 'Dark Ash Brown (3 Count) Hair Dye', 'Cool Dark Brown', 'Dark Mahogany Brown', 'Dark Soft Mahogany Brown', 'Medium Copper Brown', 'Ash Brown', 'Medium Ash Brown', 'Cool Medium Brown', 'Medium Chestnut Brown', 'Iced Golden Brown', 'Medium Golden Brown', 'Light Brown', 'Lightest Golden Brown', 'Light Ash Brown', 'Light Amber Brown', 'Cool Light Brown', 'Light Ash Blonde', 'Ash Brown UL 61', 'Hi-Lift Natural Brown', 'Hi-Lift Gold Brown']"
base,"L'Oréal Paris Couleur Experte 2-Step Home Hair Color & Highlights Kit, Chocolate Mousse",https://www.amazon.com/Paris-Couleur-Experte-Highlights-Mahogany/dp/B000KOJUJI,4.2,573,16.44,14.7,"29,707","Couleur Experte is the only at-home dual-system coloring kit that combines in just one box permanent base color with harmonizing highlights. Thanks to perfectly coordinated shades, you can achieve a rich, elegant, salon-like look in just two easy steps.
				    	
					/nHaving trouble finding the right shade? Questions on how to apply your L'Oreal Paris Hair Color product? Ask a L'Oreal Hair Color Expert./nIf you have a question about a L'Oreal Paris Hair Color product, talk to one of our L’Oreal Customer Care representatives./nPhone: 1-888-768-2914/nMonday-Friday, 9:00 AM-5:30PM ET",L'Oréal,"['Mahogany Brown/Chocolate', 'Ash Brown - French Éclair', 'Golden Copper Brown/Praline', 'Blonde/Toasted Coconut', 'Iridescent Blonde/Iced Meringue']"
base,"Revlon ColorSilk Haircolor, Deep Burgundy, 1 Count",https://www.amazon.com/Revlon-ColorSilk-Haircolor-Burgundy-Count/dp/B0039YQG52,4.1,285,2.68,,"27,691","For the most up to date information, we recommend you visit the manufacturer website for the best product details, including ingredients, hazards, directions and warnings. This product offering is for 3 Retail Package
				    ",Revlon,"['Brown', 'Auburn', 'Blonde', 'Auburn', 'Brown', 'Golden Brown', 'Burgundy', 'Rich Brown', 'Auburn', 'Brown', 'Golden Brown', 'Sun Blonde', 'Ash Blonde', 'Ash Brown', 'Blonde', 'Golden Brown', 'Rich Brown', 'Auburn', 'Light Sun Blonde', 'Red', 'Golden Blonde']"
base,"L'Oréal Paris Feria Multi-Faceted Shimmering Permanent Hair Color, Extreme Platinum, 1 kit Hair Dye",https://www.amazon.com/LOreal-Absolute-Platinums-Extreme-Platinum/dp/B00C3IG8AS,3.7,"1,851",8.83,,"6,145","With Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by cutting-edge fashion, Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades – no appointment necessary. The revolutionary Power Shimmer Conditioner hydrates and conditions week after week so hair is never wrecked or ravaged.
				    	
					/nHaving trouble finding the right shade? Questions on how to apply your L'Oreal Paris Hair Color product? Ask a L'Oreal Hair Color Expert./nIf you have a question about a L'Oreal Paris Hair Color product, talk to one of our L’Oreal Customer Care representatives./nPhone: 1-888-768-2914/nMonday-Friday, 9:00 AM-5:30PM ET",L'Oréal,"['Very Light Natural Blonde', 'Very Light Beige Blonde', 'Natural Black', 'Bright Black', 'Midnight Ruby (Light Auburn Black)', 'Chocolate Cherry (Deep Burgundy Brown)', 'Rich Mahogany', 'Chrome Plum', 'Deep Bronzed Brown', 'Auburn Brown', 'Light Brown', 'Light Golden Brown', 'Very Rich Auburn', 'Copper Shimmer (Deep Copper)', 'Light Beige Blonde', 'Extremely Light Blonde', 'Copper Crave', 'Platinum', 'Soft Blue Black', 'Deep Burgundy (Deep Burgundy)', 'Intense Medium Auburn', 'Gold', 'Cool Medium Brown', 'Midnight Violet', 'Soft Black']"
base,Fun Temporary Hair Color Wax Hair Dye Wax Hair Styling&Coloring Wax for Halloween- Wash Off Easily - Fast Coloring on - Zero Damage to Hair (PURPLE),https://www.amazon.com/Temporary-Styling-Coloring-Halloween-Easily/dp/B07XC1J97L,3.8,21,12.99,,"11,289",,Fun,"['BLACK', 'BLUE', 'BLUE+GREEN', 'BLUE+GREY', 'BLUE+WHITE', 'GREEN', 'GREY', 'ORANGE', 'PURPLE', 'RED', 'WHITE']"
base,"L'oreal Paris Hair Color Superior Preference Fade-defying Plus Shine Permanent Coloring, 8s Soft Silver Blonde",https://www.amazon.com/Paris-Superior-Preference-Fade-defying-Permanent/dp/B07JG9WJ6Z,4.1,706,8.97,9.6,"11,873","L'Oreal Superior Preference Hair Color - our gold standard in luxurious permanent hair color since 1973. Superior Preference at-home hair coloring kit is special because it delivers super shiny luminous hair color. Preference gives you long lasting hair color that's fade-defying for weeks and weeks. From root to tip whether you have blonde hair, brown hair, black hair or red hair color, your color won't look dull or brassy. We pair our translucent gel hair dye formula with our exclusive Care Supreme Conditioner with Shine Serum that help keep color vibrancy and provides silky and shiny hair. Preference is available in over 50 Luminous Shades. Our Luminous Blonde shades range across a wide spectrum from light blonde to dirty blonde, honey blonde to red blonde and strawberry blonde to champagne blonde. Our rich Brown shades range across the spectrum of ash brown to sun-kissed caramel brown. Our deep Red shades range from dark red to auburn and copper to mahogany to burgundy. Each shade is crafted to show infinite tones and reflects, so you can find your own Superior Preference signature. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Ultra Natural Blonde', 'Dark Blonde', 'Medium Ash Blonde', 'Dark Ash Blonde', 'Dark Rose Blonde', 'Medium Blonde', 'Champagne Blonde', 'Ash Blonde', 'Golden Blonde', 'Medium Rose Blonde', 'Soft Silver Blonde', '1/2A Lightest Ash Blonde', 'Natural Blonde', 'Lightest Ash Blonde', 'Lightest Natural Blonde', 'Light Ash Blonde', 'Light Golden Blonde', 'Light Golden Reddish Blonde', 'Extra Light Ash Blonde', 'Extra Light Natural Blonde', 'Ash Blonde']"
base,"L'OrÃƒal Paris Excellence CrÃƒme Permanent Hair Color, 10 Lightest Ultimate Blonde, Pack of 1 100% Gray Coverage Hair Dye",https://www.amazon.com/Paris-Excellence-Permanent-Lightest-Ultimate/dp/B000VWMRU8,4.1,647,7.40,8.8,"8,528","There's a reason it's called Excellence. Nothing protects or covers grays better*.  L’Oreal Excellence Crème’s Exclusive Triple Protection System seals, replenishes and conditions your hair for up to 8 weeks of protection. All that, and 100% gray hair coverage, even on stubborn grays.*compared to each leading competitor's top selling brand.
				    	
					/nBy L'Oreal Paris
				    ",L'OrÃƒal,"['Extra Light Ash Blonde', 'Extra Light Natural Blonde', 'Lightest Ultimate Blonde', 'Medium Ash Blonde', 'Medium Ash Blonde', 'Dark Beige Blonde', 'Dark Golden Blonde', 'Medium Blonde', 'Champagne Blonde', 'Medium Golden Blonde', 'Medium Red Blonde', 'Medium Reddish Blonde', 'Light Natural Blonde', 'Lightest Natural Blonde', 'Light Ash Blonde']"
base,"John Frieda Precision Foam Colour, Dark Natural Brown 4N",https://www.amazon.com/John-Frieda-Precision-Colour-Natural/dp/B004DK4DUG,4.0,87,12.49,,"8,412","John Frieda Precision Foam Colour, Dark Natural Brown 4N
				    ",John,[]
base,"Garnier Nutrisse Ultra Coverage Hair Color, Deep Medium Natural Brown (Glazed Walnut) 500 (Packaging May Vary)",https://www.amazon.com/Garnier-Nutrisse-Coverage-Natural-Packaging/dp/B074VFFB3J,3.9,224,4.99,,"25,128","Experience Garnier Nutrisse Ultra Coverage Nourishing Color Creme, the hair color that not only gives you rich, radiant color for silkier, shinier hair but is the first at-home hair color with Cover Plus Technology specifically formulated for 100% grey coverage on hard-to-cover, ultra-resistant grays. Deep, neutral pigments flood stubborn grey hair for maximum coverage while balanced reflects mimic hair's highs and lows. Lock in moisture for nourished hair with its creamy after color conditioner infused with avocado, olive, and shea oils. Nutrisse Ultra Coverage is easy to use, smells great, does not drip. See for yourself why nourished hair means better color.
				    ",Garnier,"['Black', 'Brown', 'Red', 'Blonde']"
base,"L'Oréal Paris Superior Preference Fade-Defying + Shine Permanent Hair Color, 1.0 Ultimate Black, 1 kit Hair Dye",https://www.amazon.com/Paris-Superior-Preference-Fade-Defying-Permanent/dp/B001TVR9DK,4.3,64,6.73,0.32,"10,685","Since 1973, L’Oreal Superior Preference has been our gold standard in permanent hair color – delivering extraordinary shine and luminous hair color that lasts and lasts. What makes Superior Preference hair color so special is our unique Fade-Defying Color and Shine System that pairs our translucent gel formula with our famous Care Supreme Conditioning treatment. The end result is beautifully crafted, long lasting hair color with depth and dimension. Available in over 50 luminous shades so you can find your own signature color.
				    	
					/nHaving trouble finding the right shade? Questions on how to apply your L'Oreal Paris Hair Color product? Ask a L'Oreal Hair Color Expert./nIf you have a question about a L'Oreal Paris Hair Color product, talk to one of our L’Oreal Customer Care representatives./nPhone: 1-888-768-2914/nMonday-Friday, 9:00 AM-5:30PM ET",L'Oréal,"['Ultimate Black', 'Deep Blue Black', 'Soft Black']"
base,"Revlon Colorsilk Buttercream Hair Dye, Vivid Intense Red, Pack of 3",https://www.amazon.com/Revlon-Colorsilk-Buttercream-Vivid-Intense/dp/B07DG851Y7,3.8,15,17.07,,"47,404","Revlon Color Silk Buttercream is a rich, caring hair color cream that delivers supreme lasting color, ultimate shine and softness. This revolutionary ammonia-free formula is enriched with our Triple Butter Complex, a combination of three of nature's most decadent butters: Mango, Shea and Coconut, plus Argan Oil to help hydrate and condition your hair. The post treatment nourishing mask contains a four-oil blend of Argan, Avocado, Sunflower and Olive for conditioning hair two weeks post coloring. The kit also includes a unique 3-in-1 brush, which allows for a more precise application. Available in 24 luscious shades. Revlon is a global leader in cosmetics, hair color, fragrances, skincare, and beauty care products. One of the strongest consumer brand franchises in the world, Revlon's products are sold in over 100 countries across six continents. Revlon revitalized the industry over the years with iconic nail and lip colors and with breakthrough technology like Color Stay transfer-resistant lipstick and makeup.
				    ",Revlon,[]
base,"SoftSub Smokey Pink 80 ml, Revolutionary Hair color cream,Permanent Pink hair color, Fuchsia Hair dye, Highlights",https://www.amazon.com/SoftSub-Revolutionary-Permanent-Fuchsia-Highlights/dp/B07MG5GQPZ,3.1,10,15.99,,"82,888","Excellent pigmentation that colors even dark and black hair. It quickly penetrates into hair evenly, which makes the color rich, and naturally shiny. It hydrates and nurses the hair while dyeing. The natural ingredients allow this dye to moisturize the hair deeply which protects it from damage and help retain the vibrant color within.
				    ",SoftSub,[]
base,"MOFAJANG Hair Color Wax Styling Cream Mud, Temporary Hair Dye Wax, Natural Hairstyle Dye Pomade for Party Cosplay, Halloween, 4.23 OZ, Purple",https://www.amazon.com/MOFAJANG-Styling-Temporary-Hairstyle-Halloween/dp/B07MM2F9QF,3.6,43,6.93,,"5,051"," /n 1: First clean your hair and dry. but make sure keep a little wet, about 80 percent dry, it will make coloring & styling more easy./n 2: Take a right amount of wax from the bottle onto the palm of your hand. Use your fingers to apply product at the scalp, pulling hairs together. Repeat several times in order to style to desired effect./n 3: Apply to a section of hair for highlights or apply the wax on the entire head./n 4: Washes out easily with just warm water./n /n Dark hair is not easy to color, it needs more./n Starts fairly wet and goes matte and sets quick./n It is a styling product, so the hair will harden./n When intense sweating occurs, it can cause color loss./n /n For boys' shot hair, one box can use 3 times normally./n For girls' shot hair, one box can use 2 times normally./n For girls' mid-length hair, one box can use only 1 times./n For long hair, please buy at least 2 boxes for one time using./n /n If our hair color wax don't work for you or you simply don't like them we will give you a full refund no questions asked! This is our policy, so you can buy from us with confidence knowing we've got you covered!
				    ",MOFAJANG,"['Gold', 'Black', 'Green', 'Grey', 'Orange', 'Purple', 'Red', 'White', '1']"
base,"Punky Turquoise Semi Permanent Conditioning Hair Color, Vegan, PPD and Paraben Free, lasts up to 25 washes, 3.5oz",https://www.amazon.com/Punky-Turquoise-Permanent-Conditioning-Paraben/dp/B0011V16IW,3.6,"2,602",7.46,4,"12,549",,Punky,"['Green', 'Green', 'Blue', 'Yellow', 'On Top', 'Candy', 'Ebony', 'Fire', 'Flame', 'Pink', 'Blue', 'Plum', 'Red', 'PastelFX Shade Adjustor', 'Wine', 'Red', 'Green', 'Turquoise', 'Red', 'Violet']"
base,"Garnier Nutrisse Ultra Color Nourishing Permanent Hair Color Cream, V2 Dark Intense Violet (2 Count) Purple Hair Dye",https://www.amazon.com/Garnier-Nutrisse-Nourishing-Permanent-Intense/dp/B07CDM8XD8,3.7,942,13.98,,"49,671","Garnier Nutrisse Ultra Color Nourishing Hair Color Creme dramatically transforms naturally dark hair with ultra reflective tones. Choose from Ultra Light Blondes, Ultra Intense Reds and Burgundies, Ultra Lightening Browns, and Ultra Reflective Blacks. Ultra Light Blondes take dark brunettes to blonde without bleach, Ultra Intense Reds and Ultra Intense Burgundies offer vibrant red tones for darker hair, Ultra Lightening Browns lift dark hair up to three shades lighter without the brassiness, and Ultra Reflective Blacks transform even the darkest hair with visibly reflective, shiny tones. Garnier Nutrisse Ultra Color Nourishing Hair Color Creme comes with an ampoule of grapeseed oil to start nourishing hair while you color because nourished hair means better color. The non-drip hair color formula spreads easily and the after-color conditioner is infused with 3 fruit oils--avocado, olive and shea--for silkier, shinier, more nourished hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",Garnier,"['Golden Brown', 'Caramel Chocolate', 'Jet Blue Black', 'Blue Black', 'Deepest Intense Burgundy', 'Dark Intense Burgundy', 'Intense Burgundy', 'Light Cool Denim', ' Rich Toffee', ' Golden Honey', 'Dark Intense Indigo', 'Swirl BY1, Balyage Kit', 'Deep Intense Lilac, Sweet Fig', 'Ultra Light Natural Blonde', 'Creme PL2', 'Ultra Pure Platinum', 'Darkest Intense Auburn', 'Medium Intense Auburn', 'Light Intense Auburn', 'Intense Bronze Red, Scarlet Ronze', 'Grenadine M2', 'Dark Intense Violet']"
